Date,Gold 999.9,Gold 995.0,Silver
2023-05-28,Rs. 92680.00,Rs. 0.00,Rs. 1166.00
2023-05-26,Rs. 92850.00,Rs. 0.00,Rs. 1153.00
2023-05-25,Rs. 93280.00,Rs. 0.00,Rs. 1157.50
2023-05-24,Rs. 94135.00,Rs. 0.00,Rs. 1166.00
2023-05-23,Rs. 93620.00,Rs. 0.00,Rs. 1170.50
2023-05-22,Rs. 94310.00,Rs. 0.00,Rs. 1179.00
2023-05-21,Rs. 94310.00,Rs. 0.00,Rs. 1187.50
2023-05-19,Rs. 93620.00,Rs. 0.00,Rs. 1174.50
2023-05-18,Rs. 94050.00,Rs. 0.00,Rs. 1174.50
2023-05-17,Rs. 94310.00,Rs. 0.00,Rs. 1174.50
2023-05-16,Rs. 95250.00,Rs. 0.00,Rs. 1179.00
2023-05-15,Rs. 95165.00,Rs. 0.00,Rs. 1179.00
2023-05-14,Rs. 94995.00,Rs. 0.00,Rs. 1179.00
2023-05-12,Rs. 94995.00,Rs. 0.00,Rs. 1179.00
2023-05-11,Rs. 95680.00,Rs. 0.00,Rs. 1226.00
2023-05-10,Rs. 95680.00,Rs. 0.00,Rs. 1239.00
2023-05-09,Rs. 95335.00,Rs. 0.00,Rs. 1239.00
2023-05-08,Rs. 95080.00,Rs. 0.00,Rs. 1239.00
2023-05-07,Rs. 94820.00,Rs. 0.00,Rs. 1239.00
2023-05-05,Rs. 95850.00,Rs. 0.00,Rs. 1247.50
2023-05-04,Rs. 95850.00,Rs. 0.00,Rs. 1239.00
2023-05-03,Rs. 94820.00,Rs. 0.00,Rs. 1222.00
2023-05-02,Rs. 93280.00,Rs. 0.00,Rs. 1204.50
2023-05-01,Rs. 93450.00,Rs. 0.00,Rs. 1213.00
2023-04-30,Rs. 93620.00,Rs. 0.00,Rs. 1213.00
2023-04-28,Rs. 93535.00,Rs. 0.00,Rs. 1209.00
2023-04-27,Rs. 93965.00,Rs. 0.00,Rs. 1213.00
2023-04-26,Rs. 94050.00,Rs. 0.00,Rs. 1213.00
2023-04-25,Rs. 93880.00,Rs. 0.00,Rs. 1217.50
2023-04-24,Rs. 93535.00,Rs. 0.00,Rs. 1217.50
2023-04-23,Rs. 93710.00,Rs. 0.00,Rs. 1234.50
2023-04-21,Rs. 94480.00,Rs. 0.00,Rs. 1239.00
2023-04-20,Rs. 94135.00,Rs. 0.00,Rs. 1239.00
2023-04-19,Rs. 94565.00,Rs. 0.00,Rs. 1239.00
2023-04-18,Rs. 94310.00,Rs. 0.00,Rs. 1230.00
2023-04-17,Rs. 94310.00,Rs. 0.00,Rs. 1243.00
2023-04-16,Rs. 94310.00,Rs. 0.00,Rs. 1243.00
2023-04-13,Rs. 94995.00,Rs. 0.00,Rs. 1243.00
2023-04-12,Rs. 94995.00,Rs. 0.00,Rs. 1243.00
2023-04-11,Rs. 94135.00,Rs. 0.00,Rs. 1230.50
2023-04-10,Rs. 93710.00,Rs. 0.00,Rs. 1226.00
2023-04-09,Rs. 94310.00,Rs. 0.00,Rs. 1234.50
2023-04-07,Rs. 94310.00,Rs. 0.00,Rs. 1234.50
2023-04-06,Rs. 94480.00,Rs. 0.00,Rs. 1230.50
2023-04-05,Rs. 95165.00,Rs. 0.00,Rs. 1234.50
2023-04-04,Rs. 93450.00,Rs. 0.00,Rs. 1200.00
2023-04-03,Rs. 92595.00,Rs. 0.00,Rs. 1192.00
2023-04-02,Rs. 93105.00,Rs. 0.00,Rs. 1209.00
2023-03-31,Rs. 93620.00,Rs. 0.00,Rs. 1200.00
2023-03-30,Rs. 92765.00,Rs. 0.00,Rs. 1179.00
2023-03-29,Rs. 93020.00,Rs. 0.00,Rs. 1170.00
2023-03-27,Rs. 93450.00,Rs. 0.00,Rs. 1166.00
2023-03-26,Rs. 93620.00,Rs. 0.00,Rs. 1174.50
2023-03-24,Rs. 94135.00,Rs. 0.00,Rs. 1166.00
2023-03-23,Rs. 93450.00,Rs. 0.00,Rs. 1166.00
2023-03-22,Rs. 92420.00,Rs. 0.00,Rs. 1144.50
2023-03-21,Rs. 94135.00,Rs. 0.00,Rs. 1149.00
2023-03-20,Rs. 93710.00,Rs. 0.00,Rs. 1140.00
2023-03-19,Rs. 94310.00,Rs. 0.00,Rs. 1153.00
2023-03-17,Rs. 91820.00,Rs. 0.00,Rs. 1123.00
2023-03-16,Rs. 91480.00,Rs. 0.00,Rs. 1119.00
2023-03-15,Rs. 90620.00,Rs. 0.00,Rs. 1114.50
2023-03-14,Rs. 90620.00,Rs. 0.00,Rs. 1114.50
2023-03-13,Rs. 89250.00,Rs. 0.00,Rs. 1076.00
2023-03-12,Rs. 88735.00,Rs. 0.00,Rs. 1067.50
2023-03-10,Rs. 87280.00,Rs. 0.00,Rs. 1046.00
2023-03-09,Rs. 86590.00,Rs. 0.00,Rs. 1046.00
2023-03-08,Rs. 87020.00,Rs. 0.00,Rs. 1050.00
2023-03-07,Rs. 87880.00,Rs. 0.00,Rs. 1084.50
2023-03-05,Rs. 88135.00,Rs. 0.00,Rs. 1093.00
2023-03-03,Rs. 87880.00,Rs. 0.00,Rs. 1084.50
2023-03-02,Rs. 87965.00,Rs. 0.00,Rs. 1089.00
2023-03-01,Rs. 87705.00,Rs. 0.00,Rs. 1089.00
2023-02-28,Rs. 87280.00,Rs. 0.00,Rs. 1076.00
2023-02-27,Rs. 87280.00,Rs. 0.00,Rs. 1076.00
2023-02-26,Rs. 87450.00,Rs. 0.00,Rs. 1080.00
2023-02-24,Rs. 87790.00,Rs. 0.00,Rs. 1093.00
2023-02-23,Rs. 87875.00,Rs. 0.00,Rs. 1102.00
2023-02-22,Rs. 88305.00,Rs. 0.00,Rs. 1110.00
2023-02-21,Rs. 88305.00,Rs. 0.00,Rs. 1106.00
2023-02-20,Rs. 88475.00,Rs. 0.00,Rs. 1106.00
2023-02-19,Rs. 88475.00,Rs. 0.00,Rs. 1106.00
