Date,Gold 999.9,Gold 995.0,Silver
2013-10-01,Rs. 0.00,Rs. 47154.00,Rs. 789.00
2013-09-30,Rs. 0.00,Rs. 47582.00,Rs. 793.00
2013-09-29,Rs. 0.00,Rs. 47582.00,Rs. 793.00
2013-09-27,Rs. 0.00,Rs. 47154.00,Rs. 785.00
2013-09-26,Rs. 0.00,Rs. 47239.00,Rs. 793.00
2013-09-25,Rs. 0.00,Rs. 47239.00,Rs. 793.00
2013-09-24,Rs. 0.00,Rs. 47239.00,Rs. 793.00
2013-09-23,Rs. 0.00,Rs. 47154.00,Rs. 780.00
2013-09-22,Rs. 0.00,Rs. 47154.00,Rs. 793.00
2013-09-20,Rs. 0.00,Rs. 47840.00,Rs. 823.00
2013-09-19,Rs. 0.00,Rs. 47840.00,Rs. 823.00
2013-09-18,Rs. 0.00,Rs. 46554.00,Rs. 789.00
2013-09-17,Rs. 0.00,Rs. 47240.00,Rs. 802.00
2013-09-16,Rs. 0.00,Rs. 47240.00,Rs. 802.00
2013-09-15,Rs. 0.00,Rs. 47840.00,Rs. 815.00
2013-09-13,Rs. 0.00,Rs. 47840.00,Rs. 806.00
2013-09-11,Rs. 0.00,Rs. 49297.00,Rs. 849.00
2013-09-10,Rs. 0.00,Rs. 49811.00,Rs. 861.00
2013-09-09,Rs. 0.00,Rs. 50840.00,Rs. 887.50
2013-09-08,Rs. 0.00,Rs. 50840.00,Rs. 887.50
2013-09-06,Rs. 0.00,Rs. 50840.00,Rs. 879.00
2013-09-05,Rs. 0.00,Rs. 51440.00,Rs. 887.00
2013-09-04,Rs. 0.00,Rs. 52726.00,Rs. 909.00
2013-09-03,Rs. 0.00,Rs. 51698.00,Rs. 896.00
2013-09-02,Rs. 0.00,Rs. 51269.00,Rs. 892.00
2013-09-01,Rs. 0.00,Rs. 51612.00,Rs. 887.00
2013-08-30,Rs. 0.00,Rs. 52469.00,Rs. 904.50
2013-08-29,Rs. 0.00,Rs. 53326.50,Rs. 930.50
2013-08-28,Rs. 0.00,Rs. 54270.00,Rs. 956.00
2013-08-27,Rs. 0.00,Rs. 51355.00,Rs. 900.00
2013-08-26,Rs. 0.00,Rs. 50500.00,Rs. 887.50
2013-08-25,Rs. 0.00,Rs. 50326.00,Rs. 874.00
2013-08-23,Rs. 0.00,Rs. 50700.00,Rs. 857.50
2013-08-22,Rs. 0.00,Rs. 50155.00,Rs. 857.50
2013-08-21,Rs. 0.00,Rs. 49125.50,Rs. 844.50
2013-08-20,Rs. 0.00,Rs. 49125.50,Rs. 844.50
2013-08-19,Rs. 0.00,Rs. 48568.00,Rs. 840.00
2013-08-18,Rs. 0.00,Rs. 48011.00,Rs. 827.00
2013-08-16,Rs. 0.00,Rs. 47882.00,Rs. 823.00
2013-08-15,Rs. 0.00,Rs. 46725.00,Rs. 785.00
2013-08-14,Rs. 0.00,Rs. 46168.00,Rs. 767.00
2013-08-13,Rs. 0.00,Rs. 46554.00,Rs. 763.00
2013-08-12,Rs. 0.00,Rs. 45910.00,Rs. 746.00
2013-08-11,Rs. 0.00,Rs. 45525.00,Rs. 742.00
2013-08-09,Rs. 0.00,Rs. 45440.00,Rs. 729.00
2013-08-08,Rs. 0.00,Rs. 45185.00,Rs. 720.00
2013-08-07,Rs. 0.00,Rs. 44840.00,Rs. 711.50
2013-08-06,Rs. 0.00,Rs. 45270.00,Rs. 716.00
2013-08-05,Rs. 0.00,Rs. 45695.00,Rs. 724.50
2013-08-04,Rs. 0.00,Rs. 45695.00,Rs. 724.50
2013-08-02,Rs. 0.00,Rs. 44625.00,Rs. 703.00
2013-08-01,Rs. 0.00,Rs. 45480.00,Rs. 711.50
2013-07-31,Rs. 0.00,Rs. 46210.00,Rs. 720.00
2013-07-30,Rs. 0.00,Rs. 45095.00,Rs. 707.50
2013-07-29,Rs. 0.00,Rs. 44840.00,Rs. 703.00
2013-07-28,Rs. 0.00,Rs. 44840.00,Rs. 703.00
2013-07-26,Rs. 0.00,Rs. 44840.00,Rs. 711.50
2013-07-25,Rs. 0.00,Rs. 44410.00,Rs. 707.50
2013-07-24,Rs. 0.00,Rs. 45270.00,Rs. 716.00
2013-07-23,Rs. 0.00,Rs. 45185.00,Rs. 720.00
2013-07-22,Rs. 0.00,Rs. 44755.00,Rs. 707.50
2013-07-21,Rs. 0.00,Rs. 43895.00,Rs. 694.50
2013-07-19,Rs. 0.00,Rs. 44070.00,Rs. 699.00
2013-07-18,Rs. 0.00,Rs. 43595.00,Rs. 694.50
2013-07-17,Rs. 0.00,Rs. 43724.00,Rs. 703.00
2013-07-16,Rs. 0.00,Rs. 43510.00,Rs. 703.00
2013-07-15,Rs. 0.00,Rs. 43638.00,Rs. 716.00
2013-07-14,Rs. 0.00,Rs. 43210.00,Rs. 712.00
2013-07-12,Rs. 0.00,Rs. 43210.00,Rs. 712.00
2013-07-11,Rs. 0.00,Rs. 43210.00,Rs. 707.00
2013-07-10,Rs. 0.00,Rs. 42267.00,Rs. 690.00
2013-07-09,Rs. 0.00,Rs. 42738.00,Rs. 703.00
2013-07-08,Rs. 0.00,Rs. 42095.00,Rs. 690.00
2013-07-07,Rs. 0.00,Rs. 41667.00,Rs. 686.00
2013-07-05,Rs. 0.00,Rs. 42310.00,Rs. 699.00
2013-07-04,Rs. 0.00,Rs. 42438.00,Rs. 703.00
2013-07-03,Rs. 0.00,Rs. 42138.00,Rs. 699.00
2013-07-02,Rs. 0.00,Rs. 42138.00,Rs. 699.00
2013-07-01,Rs. 0.00,Rs. 41624.00,Rs. 699.00
2013-06-30,Rs. 0.00,Rs. 41624.00,Rs. 699.00
2013-06-28,Rs. 0.00,Rs. 41238.00,Rs. 682.00
2013-06-27,Rs. 0.00,Rs. 42438.00,Rs. 686.00
2013-06-26,Rs. 0.00,Rs. 42310.00,Rs. 677.00
2013-06-25,Rs. 0.00,Rs. 43038.00,Rs. 694.00
2013-06-24,Rs. 0.00,Rs. 43210.00,Rs. 703.00
2013-06-23,Rs. 0.00,Rs. 43296.00,Rs. 707.00
2013-06-11,Rs. 0.00,Rs. 45439.00,Rs. 750.00
2013-06-10,Rs. 0.00,Rs. 44710.00,Rs. 737.00
2013-06-09,Rs. 0.00,Rs. 44324.00,Rs. 733.00
2013-06-07,Rs. 0.00,Rs. 45010.00,Rs. 752.00
2013-06-06,Rs. 0.00,Rs. 44625.00,Rs. 742.00
2013-06-05,Rs. 0.00,Rs. 44453.00,Rs. 755.00
2013-06-04,Rs. 0.00,Rs. 44796.00,Rs. 755.00
2013-06-03,Rs. 0.00,Rs. 44239.00,Rs. 750.00
2013-06-02,Rs. 0.00,Rs. 44024.00,Rs. 746.00
2013-05-31,Rs. 0.00,Rs. 44882.00,Rs. 763.00
2013-05-30,Rs. 0.00,Rs. 43896.00,Rs. 746.00
2013-05-29,Rs. 0.00,Rs. 43724.00,Rs. 742.00
2013-05-28,Rs. 0.00,Rs. 43467.00,Rs. 742.00
2013-05-27,Rs. 0.00,Rs. 43553.00,Rs. 746.00
2013-05-26,Rs. 0.00,Rs. 43381.00,Rs. 742.00
2013-05-24,Rs. 0.00,Rs. 43724.00,Rs. 746.00
2013-05-23,Rs. 0.00,Rs. 43081.00,Rs. 742.00
2013-05-22,Rs. 0.00,Rs. 43000.00,Rs. 742.00
2013-05-21,Rs. 0.00,Rs. 43124.00,Rs. 742.00
2013-05-20,Rs. 0.00,Rs. 41753.00,Rs. 712.00
2013-05-19,Rs. 0.00,Rs. 42095.00,Rs. 729.00
2013-05-17,Rs. 0.00,Rs. 42653.00,Rs. 733.00
2013-05-16,Rs. 0.00,Rs. 42867.00,Rs. 733.00
2013-05-15,Rs. 0.00,Rs. 43896.00,Rs. 755.00
2013-05-14,Rs. 0.00,Rs. 44324.00,Rs. 763.00
2013-05-13,Rs. 0.00,Rs. 44240.00,Rs. 763.00
2013-05-12,Rs. 0.00,Rs. 44495.00,Rs. 771.50
2013-05-10,Rs. 0.00,Rs. 44670.00,Rs. 771.50
2013-05-09,Rs. 0.00,Rs. 44839.00,Rs. 772.00
2013-05-08,Rs. 0.00,Rs. 44410.00,Rs. 770.00
2013-05-07,Rs. 0.00,Rs. 44753.00,Rs. 772.00
2013-05-06,Rs. 0.00,Rs. 44838.00,Rs. 776.00
2013-05-05,Rs. 0.00,Rs. 44925.00,Rs. 776.00
2013-05-03,Rs. 0.00,Rs. 44925.00,Rs. 776.00
2013-05-02,Rs. 0.00,Rs. 44582.00,Rs. 767.00
2013-05-01,Rs. 0.00,Rs. 45096.00,Rs. 774.00
2013-04-30,Rs. 0.00,Rs. 45182.00,Rs. 776.00
2013-04-29,Rs. 0.00,Rs. 45353.00,Rs. 778.50
2013-04-28,Rs. 0.00,Rs. 45353.00,Rs. 778.50
2013-04-22,Rs. 0.00,Rs. 43510.00,Rs. 763.00
2013-04-21,Rs. 0.00,Rs. 43210.00,Rs. 763.00
2013-04-19,Rs. 0.00,Rs. 42824.00,Rs. 759.00
2013-04-18,Rs. 0.00,Rs. 42310.00,Rs. 755.00
2013-04-17,Rs. 0.00,Rs. 42438.00,Rs. 767.00
2013-04-16,Rs. 0.00,Rs. 42438.00,Rs. 767.00
2013-04-15,Rs. 0.00,Rs. 44925.00,Rs. 797.00
2013-04-14,Rs. 0.00,Rs. 46554.00,Rs. 823.00
2013-04-12,Rs. 0.00,Rs. 47753.00,Rs. 870.00
2013-04-11,Rs. 0.00,Rs. 47668.00,Rs. 870.00
2013-04-10,Rs. 0.00,Rs. 48397.00,Rs. 870.00
2013-04-09,Rs. 0.00,Rs. 48225.00,Rs. 859.00
2013-04-08,Rs. 0.00,Rs. 48440.00,Rs. 861.50
2013-04-05,Rs. 0.00,Rs. 47755.00,Rs. 857.50
2013-04-04,Rs. 0.00,Rs. 47625.00,Rs. 856.00
2013-04-03,Rs. 0.00,Rs. 47970.00,Rs. 862.00
2013-04-02,Rs. 0.00,Rs. 48610.00,Rs. 887.50
2013-04-01,Rs. 0.00,Rs. 48610.00,Rs. 887.50
2013-03-31,Rs. 0.00,Rs. 48610.00,Rs. 891.50
2013-03-29,Rs. 0.00,Rs. 48525.00,Rs. 888.00
2013-03-28,Rs. 0.00,Rs. 48783.00,Rs. 895.00
2013-03-27,Rs. 0.00,Rs. 48654.00,Rs. 890.00
2013-03-25,Rs. 0.00,Rs. 48783.00,Rs. 897.00
2013-03-24,Rs. 0.00,Rs. 48783.00,Rs. 897.00
2013-03-22,Rs. 0.00,Rs. 48825.00,Rs. 897.00
2013-03-21,Rs. 0.00,Rs. 48825.00,Rs. 897.00
2013-03-20,Rs. 0.00,Rs. 48783.00,Rs. 897.00
2013-03-19,Rs. 0.00,Rs. 48485.00,Rs. 895.00
2013-03-18,Rs. 0.00,Rs. 48400.00,Rs. 895.00
2013-03-17,Rs. 0.00,Rs. 48311.00,Rs. 896.00
2013-03-15,Rs. 0.00,Rs. 48355.00,Rs. 903.00
2013-03-14,Rs. 0.00,Rs. 48355.00,Rs. 903.00
2013-03-13,Rs. 0.00,Rs. 48355.00,Rs. 903.00
2013-03-12,Rs. 0.00,Rs. 48255.00,Rs. 901.00
2013-03-11,Rs. 0.00,Rs. 48355.00,Rs. 903.00
2013-03-10,Rs. 0.00,Rs. 48355.00,Rs. 903.00
2013-03-08,Rs. 0.00,Rs. 48250.00,Rs. 900.00
2013-03-07,Rs. 0.00,Rs. 48500.00,Rs. 902.00
2013-03-06,Rs. 0.00,Rs. 48350.00,Rs. 900.00
2013-03-05,Rs. 0.00,Rs. 48450.00,Rs. 902.00
2013-03-04,Rs. 0.00,Rs. 48500.00,Rs. 902.00
2013-03-03,Rs. 0.00,Rs. 48397.00,Rs. 903.00
2013-03-01,Rs. 0.00,Rs. 48270.00,Rs. 900.00
2013-02-28,Rs. 0.00,Rs. 48270.00,Rs. 900.00
2013-02-27,Rs. 0.00,Rs. 48700.00,Rs. 904.50
2013-02-26,Rs. 0.00,Rs. 48270.00,Rs. 904.50
2013-02-24,Rs. 0.00,Rs. 48270.00,Rs. 904.50
2013-02-22,Rs. 0.00,Rs. 48270.00,Rs. 904.50
2013-02-21,Rs. 0.00,Rs. 47755.00,Rs. 891.50
2013-02-20,Rs. 0.00,Rs. 48870.00,Rs. 917.50
2013-02-18,Rs. 0.00,Rs. 49040.00,Rs. 926.00
2013-02-17,Rs. 0.00,Rs. 48870.00,Rs. 936.00
2013-02-15,Rs. 0.00,Rs. 49300.00,Rs. 934.50
2013-02-14,Rs. 0.00,Rs. 49555.00,Rs. 943.00
2013-02-13,Rs. 0.00,Rs. 49640.00,Rs. 947.50
2013-02-12,Rs. 0.00,Rs. 49555.00,Rs. 943.00
2013-02-11,Rs. 0.00,Rs. 49985.00,Rs. 956.00
2013-02-07,Rs. 0.00,Rs. 49810.00,Rs. 960.00
2013-02-06,Rs. 0.00,Rs. 49555.00,Rs. 956.00
2013-02-05,Rs. 0.00,Rs. 49810.00,Rs. 960.00
2013-02-04,Rs. 0.00,Rs. 49555.00,Rs. 956.00
2013-01-30,Rs. 0.00,Rs. 49900.00,Rs. 956.00
2013-01-29,Rs. 0.00,Rs. 49900.00,Rs. 947.50
2013-01-28,Rs. 0.00,Rs. 49725.00,Rs. 951.50
2013-01-27,Rs. 0.00,Rs. 49555.00,Rs. 951.50
2013-01-27,Rs. 0.00,Rs. 49555.00,Rs. 951.50
2013-01-25,Rs. 0.00,Rs. 49555.00,Rs. 964.50
2013-01-24,Rs. 0.00,Rs. 50155.00,Rs. 977.50
2013-01-23,Rs. 0.00,Rs. 50240.00,Rs. 977.50
2013-01-22,Rs. 0.00,Rs. 50240.00,Rs. 973.00
2013-01-21,Rs. 0.00,Rs. 50240.00,Rs. 973.00
2013-01-20,Rs. 0.00,Rs. 50240.00,Rs. 969.00
2013-01-18,Rs. 0.00,Rs. 50410.00,Rs. 973.00
2013-01-17,Rs. 0.00,Rs. 50585.00,Rs. 969.00
2013-01-16,Rs. 0.00,Rs. 50585.00,Rs. 969.00
2013-01-15,Rs. 0.00,Rs. 50070.00,Rs. 960.00
2013-01-14,Rs. 0.00,Rs. 50070.00,Rs. 951.50
2013-01-13,Rs. 0.00,Rs. 50070.00,Rs. 951.50
2013-01-11,Rs. 0.00,Rs. 50000.00,Rs. 947.50
2013-01-10,Rs. 0.00,Rs. 50000.00,Rs. 947.50
2013-01-08,Rs. 0.00,Rs. 49985.00,Rs. 956.00
2013-01-07,Rs. 0.00,Rs. 50240.00,Rs. 947.50
2013-01-06,Rs. 0.00,Rs. 50140.00,Rs. 943.00
2013-01-04,Rs. 0.00,Rs. 50155.00,Rs. 934.50
2013-01-03,Rs. 0.00,Rs. 50670.00,Rs. 960.00
2013-01-02,Rs. 0.00,Rs. 50410.00,Rs. 947.50
2013-01-01,Rs. 0.00,Rs. 50410.00,Rs. 947.50
2012-12-31,Rs. 0.00,Rs. 50070.00,Rs. 938.00
2012-12-30,Rs. 0.00,Rs. 50155.00,Rs. 943.00
2012-12-28,Rs. 0.00,Rs. 50155.00,Rs. 947.50
2012-12-27,Rs. 0.00,Rs. 50000.00,Rs. 939.00
2012-12-26,Rs. 0.00,Rs. 50000.00,Rs. 939.00
2012-12-25,Rs. 0.00,Rs. 50155.00,Rs. 943.00
2012-12-24,Rs. 0.00,Rs. 50100.00,Rs. 943.00
2012-12-23,Rs. 0.00,Rs. 50050.00,Rs. 943.00
2012-12-21,Rs. 0.00,Rs. 49870.00,Rs. 935.00
2012-12-20,Rs. 0.00,Rs. 50220.00,Rs. 962.00
2012-12-19,Rs. 0.00,Rs. 50285.00,Rs. 975.00
2012-12-18,Rs. 0.00,Rs. 51010.00,Rs. 1003.00
2012-12-17,Rs. 0.00,Rs. 50755.00,Rs. 999.00
2012-12-14,Rs. 0.00,Rs. 50755.00,Rs. 999.00
2012-12-13,Rs. 0.00,Rs. 50585.00,Rs. 1007.50
2012-12-12,Rs. 0.00,Rs. 50840.00,Rs. 1007.50
2012-12-09,Rs. 0.00,Rs. 51225.00,Rs. 1011.50
2012-12-07,Rs. 0.00,Rs. 51140.00,Rs. 1007.50
2012-12-06,Rs. 0.00,Rs. 51010.00,Rs. 1007.50
2012-12-05,Rs. 0.00,Rs. 51140.00,Rs. 1016.00
2012-12-04,Rs. 0.00,Rs. 51355.00,Rs. 1029.00
2012-12-03,Rs. 0.00,Rs. 51140.00,Rs. 1029.00
2012-12-02,Rs. 0.00,Rs. 51010.00,Rs. 1020.00
2012-11-30,Rs. 0.00,Rs. 51870.00,Rs. 1040.00
2012-11-29,Rs. 0.00,Rs. 52060.00,Rs. 1036.50
2012-11-28,Rs. 0.00,Rs. 52725.00,Rs. 1046.00
2012-11-27,Rs. 0.00,Rs. 53025.00,Rs. 1050.00
2012-11-26,Rs. 0.00,Rs. 53025.00,Rs. 1050.00
2012-11-25,Rs. 0.00,Rs. 53025.00,Rs. 1050.00
2012-11-23,Rs. 0.00,Rs. 52200.00,Rs. 1029.00
2012-11-22,Rs. 0.00,Rs. 52170.00,Rs. 1029.00
2012-11-20,Rs. 0.00,Rs. 52000.00,Rs. 1020.00
2012-11-19,Rs. 0.00,Rs. 51870.00,Rs. 1003.00
2012-11-18,Rs. 0.00,Rs. 51750.00,Rs. 1003.00
2012-11-16,Rs. 0.00,Rs. 51800.00,Rs. 1003.00
2012-11-12,Rs. 0.00,Rs. 51800.00,Rs. 1003.00
2012-11-11,Rs. 0.00,Rs. 51800.00,Rs. 1003.00
2012-11-09,Rs. 0.00,Rs. 51460.00,Rs. 990.00
2012-11-08,Rs. 0.00,Rs. 51250.00,Rs. 975.00
2012-11-07,Rs. 0.00,Rs. 51050.00,Rs. 981.50
2012-11-06,Rs. 0.00,Rs. 50465.00,Rs. 960.00
2012-11-05,Rs. 0.00,Rs. 49970.00,Rs. 945.00
2012-11-04,Rs. 0.00,Rs. 49970.00,Rs. 945.00
2012-11-02,Rs. 0.00,Rs. 50700.00,Rs. 977.50
2012-11-01,Rs. 0.00,Rs. 50770.00,Rs. 975.00
2012-10-18,Rs. 0.00,Rs. 50720.00,Rs. 986.00
2012-10-17,Rs. 0.00,Rs. 50530.00,Rs. 980.00
2012-10-15,Rs. 0.00,Rs. 50600.00,Rs. 990.00
2012-10-14,Rs. 0.00,Rs. 50600.00,Rs. 992.00
2012-10-12,Rs. 0.00,Rs. 51050.00,Rs. 1006.00
2012-10-11,Rs. 0.00,Rs. 51100.00,Rs. 1012.00
2012-10-10,Rs. 0.00,Rs. 50960.00,Rs. 1002.00
2012-10-09,Rs. 0.00,Rs. 50847.00,Rs. 1005.00
2012-10-08,Rs. 0.00,Rs. 50500.00,Rs. 1000.00
2012-10-07,Rs. 0.00,Rs. 50530.00,Rs. 1010.00
2012-10-05,Rs. 0.00,Rs. 50500.00,Rs. 1013.00
2012-10-04,Rs. 0.00,Rs. 50530.00,Rs. 1013.00
2012-10-03,Rs. 0.00,Rs. 50677.00,Rs. 1016.00
2012-10-02,Rs. 0.00,Rs. 50878.00,Rs. 1020.00
2012-10-01,Rs. 0.00,Rs. 51000.00,Rs. 1010.00
2012-09-30,Rs. 0.00,Rs. 51260.00,Rs. 1016.00
2012-09-28,Rs. 0.00,Rs. 51250.00,Rs. 1019.00
2012-09-27,Rs. 0.00,Rs. 51105.00,Rs. 1016.00
2012-09-26,Rs. 0.00,Rs. 51530.00,Rs. 1012.00
2012-09-25,Rs. 0.00,Rs. 51530.00,Rs. 1014.00
2012-09-24,Rs. 0.00,Rs. 51200.00,Rs. 1010.00
2012-09-23,Rs. 0.00,Rs. 51550.00,Rs. 1025.00
2012-09-21,Rs. 0.00,Rs. 52240.00,Rs. 1038.00
2012-09-20,Rs. 0.00,Rs. 52160.00,Rs. 1037.00
2012-09-19,Rs. 0.00,Rs. 52200.00,Rs. 1038.00
2012-09-18,Rs. 0.00,Rs. 51940.00,Rs. 1029.00
2012-09-17,Rs. 0.00,Rs. 52060.00,Rs. 1033.00
2012-09-16,Rs. 0.00,Rs. 52550.00,Rs. 1042.00
2012-09-13,Rs. 0.00,Rs. 52300.00,Rs. 1026.00
2012-09-01,Rs. 0.00,Rs. 52900.00,Rs. 1055.00
2012-08-03,Rs. 0.00,Rs. 48870.00,Rs. 874.50
2012-08-02,Rs. 0.00,Rs. 48870.00,Rs. 874.50
2012-07-31,Rs. 0.00,Rs. 49000.00,Rs. 887.00
2012-07-29,Rs. 0.00,Rs. 48950.00,Rs. 875.00
2012-07-27,Rs. 0.00,Rs. 48870.00,Rs. 874.00
2012-07-26,Rs. 0.00,Rs. 48670.00,Rs. 870.00
2012-07-25,Rs. 0.00,Rs. 48640.00,Rs. 868.00
2012-07-24,Rs. 0.00,Rs. 48165.00,Rs. 866.00
2012-07-23,Rs. 0.00,Rs. 48000.00,Rs. 860.00
2012-07-22,Rs. 0.00,Rs. 47860.00,Rs. 860.00
2012-07-20,Rs. 0.00,Rs. 47730.00,Rs. 858.00
2012-07-19,Rs. 0.00,Rs. 47650.00,Rs. 860.00
2012-07-18,Rs. 0.00,Rs. 47650.00,Rs. 858.00
2012-07-17,Rs. 0.00,Rs. 47800.00,Rs. 857.50
2012-07-16,Rs. 0.00,Rs. 47600.00,Rs. 857.50
2012-07-15,Rs. 0.00,Rs. 47800.00,Rs. 861.50
2012-07-13,Rs. 0.00,Rs. 47735.00,Rs. 856.00
2012-07-12,Rs. 0.00,Rs. 47700.00,Rs. 856.00
2012-07-11,Rs. 0.00,Rs. 47700.00,Rs. 858.00
2012-07-10,Rs. 0.00,Rs. 48250.00,Rs. 860.00
2012-07-09,Rs. 0.00,Rs. 48150.00,Rs. 865.00
2012-07-08,Rs. 0.00,Rs. 48000.00,Rs. 874.00
2012-07-06,Rs. 0.00,Rs. 48540.00,Rs. 883.00
2012-07-05,Rs. 0.00,Rs. 48425.00,Rs. 883.00
2012-07-04,Rs. 0.00,Rs. 48120.00,Rs. 878.00
2012-07-03,Rs. 0.00,Rs. 48300.00,Rs. 873.00
2012-07-02,Rs. 0.00,Rs. 48520.00,Rs. 874.00
2012-07-01,Rs. 0.00,Rs. 48500.00,Rs. 870.00
2012-06-28,Rs. 0.00,Rs. 48900.00,Rs. 875.00
2012-06-27,Rs. 0.00,Rs. 49070.00,Rs. 880.00
2012-06-26,Rs. 0.00,Rs. 49210.00,Rs. 891.50
2012-06-25,Rs. 0.00,Rs. 48410.00,Rs. 865.00
2012-06-24,Rs. 0.00,Rs. 49030.00,Rs. 880.00
2012-06-22,Rs. 0.00,Rs. 48490.00,Rs. 883.00
2012-06-21,Rs. 0.00,Rs. 49000.00,Rs. 888.00
2012-06-20,Rs. 0.00,Rs. 49150.00,Rs. 896.00
2012-06-19,Rs. 0.00,Rs. 49540.00,Rs. 907.00
2012-06-18,Rs. 0.00,Rs. 48800.00,Rs. 892.00
2012-06-17,Rs. 0.00,Rs. 49000.00,Rs. 896.00
2012-06-15,Rs. 0.00,Rs. 49165.00,Rs. 900.00
2012-06-14,Rs. 0.00,Rs. 49150.00,Rs. 909.00
2012-06-13,Rs. 0.00,Rs. 48870.00,Rs. 904.00
2012-06-12,Rs. 0.00,Rs. 48540.00,Rs. 896.00
2012-06-11,Rs. 0.00,Rs. 48000.00,Rs. 894.00
2012-06-10,Rs. 0.00,Rs. 47950.00,Rs. 890.00
2012-06-08,Rs. 0.00,Rs. 47150.00,Rs. 878.00
2012-06-07,Rs. 0.00,Rs. 48450.00,Rs. 907.00
2012-06-06,Rs. 0.00,Rs. 48850.00,Rs. 897.00
2012-06-05,Rs. 0.00,Rs. 48700.00,Rs. 892.00
2012-06-04,Rs. 0.00,Rs. 48645.00,Rs. 892.00
2012-06-03,Rs. 0.00,Rs. 48705.00,Rs. 895.00
2012-06-01,Rs. 0.00,Rs. 47295.00,Rs. 885.00
2012-05-31,Rs. 0.00,Rs. 47570.00,Rs. 892.00
2012-05-30,Rs. 0.00,Rs. 47190.00,Rs. 882.00
2012-05-29,Rs. 0.00,Rs. 47500.00,Rs. 890.00
2012-05-28,Rs. 0.00,Rs. 47295.00,Rs. 895.00
2012-05-27,Rs. 0.00,Rs. 47270.00,Rs. 891.50
2012-05-23,Rs. 0.00,Rs. 47325.00,Rs. 887.50
2012-05-16,Rs. 0.00,Rs. 45950.00,Rs. 866.00
2012-05-15,Rs. 0.00,Rs. 46125.00,Rs. 870.00
2012-05-14,Rs. 0.00,Rs. 46555.00,Rs. 883.00
2012-05-13,Rs. 0.00,Rs. 46640.00,Rs. 887.50
2012-05-08,Rs. 0.00,Rs. 47500.00,Rs. 904.50
2012-05-07,Rs. 0.00,Rs. 47925.00,Rs. 917.50
2012-05-04,Rs. 0.00,Rs. 48010.00,Rs. 917.50
2012-05-03,Rs. 0.00,Rs. 47495.00,Rs. 921.50
2012-05-02,Rs. 0.00,Rs. 47495.00,Rs. 926.00
2012-04-30,Rs. 0.00,Rs. 47410.00,Rs. 930.00
2012-04-29,Rs. 0.00,Rs. 47410.00,Rs. 930.00
2012-04-27,Rs. 0.00,Rs. 47325.00,Rs. 926.00
2012-04-26,Rs. 0.00,Rs. 47155.00,Rs. 921.50
2012-04-24,Rs. 0.00,Rs. 46980.00,Rs. 921.50
2012-04-23,Rs. 0.00,Rs. 46640.00,Rs. 934.50
2012-04-22,Rs. 0.00,Rs. 46640.00,Rs. 934.50
2012-04-20,Rs. 0.00,Rs. 46640.00,Rs. 939.00
2012-04-19,Rs. 0.00,Rs. 46380.00,Rs. 930.00
2012-04-18,Rs. 0.00,Rs. 46380.00,Rs. 930.00
2012-04-16,Rs. 0.00,Rs. 46380.00,Rs. 921.50
2012-04-15,Rs. 0.00,Rs. 46380.00,Rs. 926.00
2012-04-12,Rs. 0.00,Rs. 46380.00,Rs. 926.00
2012-04-10,Rs. 0.00,Rs. 45955.00,Rs. 926.00
2012-04-08,Rs. 0.00,Rs. 45870.00,Rs. 926.00
2012-04-06,Rs. 0.00,Rs. 45870.00,Rs. 926.00
2012-04-05,Rs. 0.00,Rs. 45355.00,Rs. 917.50
2012-04-01,Rs. 0.00,Rs. 46470.00,Rs. 930.00
2012-03-30,Rs. 0.00,Rs. 46295.00,Rs. 934.50
2012-03-29,Rs. 0.00,Rs. 46295.00,Rs. 930.00
2012-03-27,Rs. 0.00,Rs. 46895.00,Rs. 947.50
2012-03-26,Rs. 0.00,Rs. 46385.00,Rs. 934.50
2012-03-25,Rs. 0.00,Rs. 46300.00,Rs. 934.50
2012-03-23,Rs. 0.00,Rs. 45870.00,Rs. 917.50
2012-03-20,Rs. 0.00,Rs. 45870.00,Rs. 926.00
2012-03-19,Rs. 0.00,Rs. 45870.00,Rs. 926.00
2012-03-18,Rs. 0.00,Rs. 45870.00,Rs. 926.00
2012-03-16,Rs. 0.00,Rs. 45440.00,Rs. 922.00
2012-03-15,Rs. 0.00,Rs. 45010.00,Rs. 913.00
2012-03-12,Rs. 0.00,Rs. 46300.00,Rs. 947.50
2012-03-11,Rs. 0.00,Rs. 46470.00,Rs. 951.50
2012-03-09,Rs. 0.00,Rs. 46425.00,Rs. 947.50
2012-03-08,Rs. 0.00,Rs. 46300.00,Rs. 943.00
2012-03-06,Rs. 0.00,Rs. 46300.00,Rs. 947.50
2012-03-05,Rs. 0.00,Rs. 46300.00,Rs. 953.00
2012-03-04,Rs. 0.00,Rs. 46080.00,Rs. 952.00
2012-03-03,Rs. 0.00,Rs. 46295.00,Rs. 943.00
2012-03-02,Rs. 0.00,Rs. 46040.00,Rs. 960.00
2012-03-01,Rs. 0.00,Rs. 45955.00,Rs. 956.00
2012-02-28,Rs. 0.00,Rs. 47155.00,Rs. 952.00
2012-02-26,Rs. 0.00,Rs. 47365.00,Rs. 960.00
2012-02-24,Rs. 0.00,Rs. 47495.00,Rs. 960.00
2012-02-23,Rs. 0.00,Rs. 47410.00,Rs. 939.00
